id,title,first_artist,artist_genre,artist_popularity,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_popularity
4aDz9NTsLULSvewSLg8lih,เอาปากกามาวง,BELL WARISARA,[],51,['BELL WARISARA'],0.728,0.572,2,-6.933,1,0.402,0.0,0.148,0.682,89.987,204264,4,59
52h8p62Jx8KzQynM6heq7n,Sunkissed,Urworld,['thai pop rap'],47,['Urworld'],0.378,0.661,7,-6.221,0,0.436,0.0,0.157,0.509,118.055,242155,4,60
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,"['canadian pop', 'pop']",95,['Justin Bieber'],0.601,0.741,2,-5.569,1,0.185,2.91e-05,0.415,0.441,153.96,153190,4,88
5l3HFThm3Xlv8c9mmiTUgT,จันทร์อังคารพุธพฤหัสศุกร์เสาร์อาทิตย์ (Everyday),Patrickananda,[],57,['Patrickananda'],0.764,0.438,0,-8.651,1,0.541,0.0,0.103,0.72,89.993,182667,4,59
68HocO7fx9z0MgDU0ZPHro,Every Summertime,NIKI,"['indonesian r&b', 'pop']",76,['NIKI'],0.628,0.676,6,-4.227,1,0.393,6.94e-05,0.0978,0.723,78.996,215687,4,81
0gEewSHZqPiNQa9DqeeUXj,วัดปะหล่ะ? (Test Me),4EVE,"['t-pop girl group', 'thai teen pop']",51,['4EVE'],0.832,0.632,1,-6.982,1,0.512,0.0,0.109,0.83,102.992,220794,4,60
27qlKjzLoCOzltggfY8FPy,เป็นได้ทุกอย่าง,URBOYTJ,"['thai hip hop', 'thai pop']",56,['URBOYTJ'],0.768,0.585,6,-6.043,1,0.0703,0.0,0.129,0.803,87.999,191392,4,59
1M2XakpRDkxjiuCirVPD8c,เมะ,THE TOYS,['thai pop'],57,['THE TOYS'],0.756,0.677,0,-6.573,1,0.276,4.5e-06,0.204,0.68,125.048,186000,4,59
03Pc18Z9L1n2LcyBb6SKZ1,ฟีโรโมน,BlackHeart,['thai viral pop'],45,"['BlackHeart', '2TFLOW']",0.687,0.467,8,-10.913,1,0.857,0.0,0.121,0.394,117.124,220000,3,58
7bHqlO1utHAs2yknWvVt1C,นอนไม่หลับ (Melatonin),Safeplanet,"['thai indie pop', 'thai pop']",53,['Safeplanet'],0.373,0.733,8,-7.787,1,0.013,0.00181,0.116,0.249,191.873,219062,4,55
0AQkjLgo2ATGnv8EO2xKyJ,แฟนเก่าคนโปรด,SLAPKISS,['thai pop'],49,['SLAPKISS'],0.729,0.766,6,-5.697,1,0.123,0.0,0.337,0.955,120.036,216000,4,59
7xNCacksfUkYXsXuSW4vNF,PS5 (with TOMORROW X TOGETHER & Alan Walker),salem ilese,"['alt z', 'modern indie pop', 'pop', 'social media pop']",71,"['salem ilese', 'TOMORROW X TOGETHER', 'Alan Walker']",0.602,0.642,2,-5.404,0,0.0131,5.33e-06,0.0668,0.54,175.978,152214,4,78
3kVApGWaoR48GzDagnY55b,ถ้าเธอรักฉันจริง,Three Man Down,"['thai indie pop', 'thai pop']",57,['Three Man Down'],0.423,0.713,3,-5.021,1,0.135,0.0,0.0884,0.471,170.087,240250,4,52
4OHu1M6xtQLkgTSao8nYS3,ไม่ยินดี,SAMBLACK,['thai trap'],48,['SAMBLACK'],0.794,0.653,2,-8.258,1,0.222,0.0,0.0916,0.58,90.996,233317,4,58
126PlW2V73OM9n1s1zOKW9,ตั้งแต่มีเธอฉันมีความสุข (This Time),Violette Wautier,"['thai indie pop', 'thai pop']",59,['Violette Wautier'],0.689,0.543,3,-5.419,1,0.212,1.57e-05,0.139,0.214,99.988,240450,4,58
